原文件内容,替换后的内容
AB753846,U136
AB934041,U156
AB934042,U157
AB934043,U158
AB934044,U161
AB934045,U166
AB934046,U165
AB934047,U168
AB934048,U167
AB934049,U169
AB934050,U170
AB934052,U171
AB934053,U174
AB934054,U175
AB934055,U176
AB934056,U177
AB934057,U178
AB934058,U179
AB934059,U180
AB934060,U181
AB934061,U182
AB934062,U183
AB934063,U184
AB934064,U185
AF064644,U074
AF178544,U077
AF178545,U059
AF178546,U195
AF178548,U046
AF178549,U034
AF178550,U073
AF178551,U037
AF178552,U053
AF178553,U006
AF178554,U031
AF178555,U012
AF178556,U084
AF178557,U025
AF178558,U153
AF178559,U091
AF178561,U058
AF178562,U029
AF178564,U035
AF261069,U214
AF261071,U140
AF466060,U011
AF466061,U013
AF466063,U015
AF466064,U016
AF466065,U009
AF466067,U019
AF466068,U023
AF466069,U033
AF466070,U042
AF466071,U043
AF466072,U044
AF466073,U047
AF466074,U048
AF466075,U051
AF466076,U054
AF466077,U060
AF466078,U061
AF466079,U070
AF466080,U072
AF466082,U141
AF466085,U145
AF466087,U146
AF466088,U194
AF466089,U196
AF466090,U215
AF466091,U216
AY017372,U014
AY017373,U021
AY017374,U022
AY017375,U036
AY346292,U142
AY436402,U062
AY436413,U139
AY544682,U154
DQ408563,U133
EF063573,U159
EF063574,U030
EF063575,U087
EF113979,U137
EF113980,U138
EU037898,U007
EU037899,U049
EU583219,U143
EU583220,U144
EU825195,U211
EU825200,U200
GU180636,U020
GU180637,U017
HF677183,U191
HF677190,U024
HF678538,U151
HM171322,U193
HM241692,U186
HM241693,U187
JQ889288,U004
JQ889289,U086
JQ889290,U098
JQ889291,U096
JQ889292,U119
JQ889293,U122
JQ889294,U123
JQ889295,U124
JQ889296,U114
JQ889297,U115
JQ889298,U129
JQ889299,U130
JQ889300,U131
JQ889301,U163
KJ869173,U132
KM246020,U164
KP004474,U105
KP004493,U083
KP711363,U116
KR347357,U068
KR611906,U162
KT001553,U002
KT001554,U003
KU170671,U001
KU702205,U160
KX358074,U189
KX455856,U188
KX455858,U192
KX455859,U190
KX609952,U090
KX609953,U199
KX609954,U155
KY026056,U197
KY026057,U198
KY173499,U134
KY173500,U135
KY212759,U032
KY212760,U056
KY212761,U038
KY212762,U205
KY853495,U076
KY853500,U089
LC001708,U085
LC100028,U172
LC100029,U173
